INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,PHONE,ADMINISTRATOR,OWNER,LICENSE_NO,LICENSE_EXPIRATION,BEDS,long,lat
141,Assisted Living Communities,Magnolia Springs East Senior Living,13600 Lagrange Rd,Louisville,KY,40245,(502) 855-7500,Zac Lafollette,N/A,101485,Pending Renewal,0,-85.49940491,38.30131546
142,Assisted Living Communities,Magnolia Springs Florence,7665 Ewing Blvd,Florence,KY,41042,(859) 534-0630,,N/A,101589,Pending Renewal,0,-84.63966508,38.99283059
143,Assisted Living Communities,Magnolia Springs Florence Senior Living,7665 Ewing Blvd,Devon,KY,41042,(859) 282-1328,Joe Guy,N/A,101486,Pending Renewal,0,-84.63966508,38.99283059
144,Assisted Living Communities,Magnolia Springs Lexington,2701 Magnolia Springs Drive,Lexington,KY,40511,(859) 410-6575,,N/A,101591,Pending Renewal,0,-84.53316242,38.09275311
145,Assisted Living Communities,Magnolia Springs Lexington Senior Living,2701 Magnolia Springs Dr,Lexington,KY,40511,(859) 410-6575,Lauren Sword,N/A,101487,Pending Renewal,0,-84.53316242,38.09275311
146,Assisted Living Communities,Magnolia Springs Louisville,8225 Whipps Mill Rd,Louisville,KY,40222,(502) 716-5160,,N/A,101590,Pending Renewal,0,-85.60161023,38.24943162
147,Assisted Living Communities,Magnolia Springs Senior Living ,8225 Whipps Mill Rd,Louisville,KY,40222,(502) 716-5160,Tina Reed,N/A,101488,Pending Renewal,0,-85.60161023,38.24943162
148,Assisted Living Communities,Massey Springs / The Haven ,2945 Smallhouse Road,Bowling Green,KY,42104,(270) 904-1999,Sara Jones,N/A,101268,Pending Renewal,18,-86.45416693,36.94541405
149,Assisted Living Communities,Massey Springs Senior Living,2945 Smallhouse Rd,Bowling Green,KY,42104,(270) 842-0004,Leigh Mooneyhan,N/A,101429,Pending Renewal,0,-86.45416693,36.94541405
150,Assisted Living Communities,Mayfair Village Retirement Center,3310 Tates Creek Road,Lexington,KY,40502,(859) 266-2129,Sharon Davis,N/A,100653,Pending Renewal,24,-84.49554851,37.9976746
151,Assisted Living Communities,Mccready Manor,300 Stocker Dr,Richmond,KY,40475,(859) 625-1400,Jennifer Tolley,N/A,101489,Pending Renewal,0,-84.30780321,37.74974066
152,Assisted Living Communities,Mcdowell Place,1181 Ben Ali Dr,Danville,KY,40422,(859) 239-4663,Susan Matherly,N/A,101430,Pending Renewal,0,-84.8058413,37.6496739
153,Assisted Living Communities,Mcdowell Place Of Danville,1181 Ben Ali Drive,Danville,KY,40422,(859) 239-4663,Susan Matherly,N/A,100901,Pending Renewal,24,-84.8058413,37.6496739
154,Assisted Living Communities,Morning Pointe Of Danville,1375 Perryville Road,Danville,KY,40422,(859) 965-1008,Sarah Mills,N/A,101257,Pending Renewal,66,-84.79191179,37.64767624
155,Assisted Living Communities,Morning Pointe Of Danville,1375 Perryville Rd 40422,Danville,KY,40422,(859) 965-1008,,N/A,101534,Pending Renewal,0,-84.79191179,37.64767624
156,Assisted Living Communities,Morning Pointe Of Frankfort,68 C Michael Davenport Blvd,Frankfort,KY,40601,(502) 226-5888,Lisa Keller,N/A,101087,Pending Renewal,48,-84.91887926,38.16123538
157,Assisted Living Communities,Morning Pointe Of Lexington,233 Ruccio Way,Lexington,KY,40503,(423) 238-5330,Denine Collins,N/A,101137,Pending Renewal,80,-84.5290425,37.99620418
158,Assisted Living Communities,Morning Pointe Of Lexington East,150 Shoreside Drive,Lexington,KY,40515,(859) 721-0350,Netza Mullins,N/A,101172,Pending Renewal,80,-84.43672322,37.99213649
159,Assisted Living Communities,Morning Pointe Of Lexington East,150 Shoreside Drive,Lexington,KY,40515,(859) 721-0350,,N/A,,Pending Renewal,0,-84.43672322,37.99213649
160,Assisted Living Communities,Morning Pointe Of Louisville At South Hurstbourne,4711 South Hurstbourne Parkway,Louisville,KY,40291,(502) 319-3510,Nikki Thelen,N/A,101229,Pending Renewal,80,-85.60695539,38.18038948
161,Assisted Living Communities,Morning Pointe Of Owensboro,3362Buckland Square,Owensboro,KY,42301,(270) 689-0903,Karleigh Roby,N/A,101415,Pending Renewal,0,-87.14441436,37.73703501
162,Assisted Living Communities,Morning Pointe Of Richmond,1400 Gibson Bay Drive,Richmond,KY,40475,(859) 626-5000,Cristal Winkler,N/A,101086,Pending Renewal,48,-84.26497,37.737746
163,Assisted Living Communities,Morning Pointe Of Russell,1000 Addington Drive,Russell,KY,41169,(606) 833-1120,Tina Winters,N/A,101057,Pending Renewal,68,-82.69281579271235,-82.69281579271235
164,Assisted Living Communities,Oak Ridge Retirement Center,750 Dodson Ln,Madisonville,KY,42431,(270) 821-2111,Mary Lyn Troop,N/A,101432,Pending Renewal,0,-87.5175507,37.34487187
165,Assisted Living Communities,One Park Place,2701 Frederica St,Owensboro,KY,42301,(270) 926-6669,Misty Tindall,N/A,101433,Pending Renewal,0,-87.11250063,37.74912397
166,Assisted Living Communities,Palmer Place 1,500 Us Hwy 41 A North,Providence,KY,42450,(270) 667-7772,Cameron Edwards,N/A,101491,Pending Renewal,0,-87.73252467,37.41372729
167,Assisted Living Communities,Park Louisville,10451 Linn Station Road,Louisville,KY,40223,(502) 423-8776,Patty Dissell,N/A,100922,Pending Renewal,64,-85.56282259,38.22471008
168,Assisted Living Communities,Parkview Assisted Living,1004 Argyll Woods Dr,Danville,KY,40422,(859) 236-1557,Craig Wastell,N/A,101492,Pending Renewal,0,-84.78534954,37.66032081
169,Assisted Living Communities,Peridot Senior Living,1970 Tunnel Hill Road,Elizabethtown,KY,42701,(270) 692-8603,Cindy Bratcher,N/A,101373,Pending Renewal,24,-85.83767858,37.73026662
170,Assisted Living Communities,Pleasant Meadows Ii,201 Democrat Dr,Frankfort,KY,40601,(502) 352-2330,Tracey Javid,N/A,101434,Pending Renewal,0,-84.81679131,38.17207449
171,Assisted Living Communities,Preston Greens Senior Living,1825 Little Herb Way,Lexington,KY,40509,(859) 309-1897,Kristi Peters,N/A,101336,Pending Renewal,138,-84.40795796,38.02720817
172,Assisted Living Communities,Preston Greens Senior Living,1825 Little Herb Way,Lexington,KY,40509,(951) 552-0109,,N/A,101456,Pending Renewal,0,-84.40795796,38.02720817
173,Assisted Living Communities,Provision Living At Crown Ridge,415 Davis Lane,Walton,KY,41094,(859) 485-8200,Leanna Bush,N/A,101394,Pending Renewal,115,-84.60517695,-84.60517695
174,Assisted Living Communities,Provision Living Of Crown Ridge,415 Davis Lane,Beaverlick,KY,41094,(859) 485-8200,Leanna Bush,N/A,101530,Pending Renewal,0,-84.70936249949449,-84.70936249949449
175,Assisted Living Communities,Richmond Place Senior Living,3195 Rio Dosa Drive,Lexington,KY,40509,(859) 269-6308,Cynthia Schubert,N/A,100553,Pending Renewal,81,-84.44087145,38.00470444
176,Assisted Living Communities,Richmond Place Senior Living,3195 Rio Dosa Drive,Lexington,KY,40511,(502) 555-5512,,N/A,101556,Pending Renewal,0,-84.44087145,38.00470444
177,Assisted Living Communities,Rivercrest Place,2121 New Holt Rd,Paducah,KY,42001,(270) 554-6911,Mary Ingram,N/A,101493,Pending Renewal,0,-88.69604123,37.05753007
178,Assisted Living Communities,River'S Bend Retirement Community,300 Beech St,Kuttawa,KY,42055,(270) 388-2868,Candy Denley,N/A,101494,Pending Renewal,0,-88.13139439,37.06362034
179,Assisted Living Communities,Robinbrook Senior Living,201 Harmony Way,Elizabethtown,KY,42701,(270) 506-5687,Pat Cramner,N/A,101495,Pending Renewal,0,-85.9037887,37.7240674
180,Assisted Living Communities,Sanders Ridge Health Campus,119 East Sanders Lane,Mount Washington,KY,40047,(502) 251-3821,Todd Frasher,N/A,101339,Pending Renewal,0,-85.50821124,38.05982472
181,Assisted Living Communities,Sanders Ridge Health Campus,119 East Sanders Lane,Mount Washington,KY,40047,(859) 000-8901,,N/A,101535,Pending Renewal,0,-85.50821124,38.05982472
182,Assisted Living Communities,Shelby Farms Senior Living,100 Williamsburg Drive,Shelbyville,KY,40065,(502) 257-9485,Chase Belcher,N/A,101524,06/30/2026,96,-85.20535857,38.21653662
183,Assisted Living Communities,Shelby Farms Senior Living,100 Willamsburg Dr,Shelbyville,KY,40065,(502) 257-9485,,N/A,101524,06/30/2026,0,-85.20535857,38.21653662
184,Assisted Living Communities,Southern Kentucky Senior Living,2901 Bowling Green Rd,Franklin,KY,42134,(270) 776-9961,,N/A,10566,Pending Renewal,0,-86.5731665,36.76596099
185,Assisted Living Communities,"St Charles Care Center, Inc",610 Farrell Drive,Covington,KY,41011,(859) 331-3224,Karen Smith,N/A,101185,Pending Renewal,16,-84.52825929,39.04828872
186,Assisted Living Communities,Sterling Meadows Assisted Living,209 North Maysville St,Mount Sterling,KY,40353,(859) 498-0033,Anna Preus,N/A,101497,06/30/2026,0,-83.94304724,38.05943355
187,Assisted Living Communities,Stilley House Assiste Dliving,971 Birch St,Benton,KY,42025,(270) 527-1700,Jennifer Brown,N/A,101454,06/30/2026,0,-88.34717321,36.85938417
188,Assisted Living Communities,Stilley House Assited Living,971 Birch Street,Benton,KY,42025,(270) 527-1700,,N/A,101602,06/30/2026,0,-88.34717321,36.85938417
189,Assisted Living Communities,Storypoint Prospect,6901 Carslaw Court,Prospect,KY,40059,(502) 907-3778,Susan Gold,N/A,101278,08/01/2026,65,-85.62073152,38.34104247
190,Assisted Living Communities,Storypoint Prospect,6901 Carslaw Court ,Prospect,KY,40059,(502) 907-3778,,N/A,101522,08/01/2026,0,-85.62073152,38.34104247
191,Assisted Living Communities,Sunrise Of Louisville,6700 Overlook Rd,Louisville,KY,40241,(502) 425-0820,,N/A,100567,Pending Renewal,0,-85.62651446,38.29368601
192,Assisted Living Communities,Sunrise Of Louisville,6700 Overlook Drive,Louisville,KY,40241,(502) 425-0820,Deborah Rost,N/A,101074,Pending Renewal,94,-85.62651446,38.29368601
193,Assisted Living Communities,Symphony At Valley Farms,10201 Valley Farms Boulevard,Louisville,KY,40272,(502) 937-3028,Beverly Williams,N/A,101297,Pending Renewal,90,-85.85774525,38.10654697
194,Assisted Living Communities,Symphony At Valley Farms,10201 Valley Farms Blvd,Louisville,KY,40272,(502) 937-3028,,N/A,101553,Pending Renewal,0,-85.85774525,38.10654697
195,Assisted Living Communities,Tender Touch Heart & Home ,571 Westport Rd,Elizabethtown,KY,42701,(270) 765-6103,Joan Beams,N/A,101435,Pending Renewal,0,-85.87891048,37.69885537
196,Assisted Living Communities,Tender Touch Senior Living,200 N Miles St,Elizabethtown,KY,42701,(270) 982-8363,Joan Beams,N/A,101436,Pending Renewal,0,-85.86193805,37.69714874
197,Assisted Living Communities,The Ashton On Dorsey,1105 Dorsey Lane,Louisville,KY,40223,(502) 677-3225,Miles Burkholder,N/A,101314,Pending Renewal,101,-85.56426035,38.26568067
198,Assisted Living Communities,The Ashton On Dorsey,1105 Dorsey Lane,Louisville,KY,40223,(502) 966-7077,,N/A,101568,Pending Renewal,0,-85.56426035,38.26568067
199,Assisted Living Communities,The Breckinridge,2109 Cornerstone Drive,Lexington,KY,40509,(859) 543-0824,Terri Schneider,N/A,100873,Pending Renewal,26,-84.44446817,38.03075101
200,Assisted Living Communities,The Bungalows At Mayfield,1517 West Broadway St,Mayfield,KY,42066,(270) 251-0233,Deann Metcalf,N/A,101437,Pending Renewal,0,-88.67093697,36.73800877
201,Assisted Living Communities,The Bungalows Of Bowling Green,981 Campbell Ln,Bowling Green,KY,42104,(270) 746-9600,Alexis Thomas,N/A,101438,Pending Renewal,0,-86.45702844,36.96083604
202,Assisted Living Communities,The Courtyard,100 West Braod St,Central City,KY,42330,(270) 757-1100,Amy Dukes,N/A,101498,Pending Renewal,0,-87.12477314,37.29311569
203,Assisted Living Communities,The Crestview Assisted Living,235 South Richardson Dr,Somerset,KY,42501,(606) 678-8927,Melissa Creekmore,N/A,101439,Pending Renewal,0,-84.60837244,37.08891586
204,Assisted Living Communities,The Episcopal Church Home,7504 Westport Road,Louisville,KY,40222,(502) 736-7800,Jomiya Coleman,N/A,101514,Pending Renewal,0,-85.61370124,38.27132721
205,Assisted Living Communities,The Episcopal Church Home,7504 Westport Rd,Louisville,KY,40222,(502) 555-5555,,N/A,101514,Pending Renewal,0,-85.61370124,38.27132721
206,Assisted Living Communities,The Forum At Brookside,200 Brookside Drive,Louisville,KY,40243,(502) 245-3048,Sara Shaw,N/A,100551,Pending Renewal,24,-85.55275691,38.24957234
207,Assisted Living Communities,The Gardens At Hickory Woods,84 Utterback Road,Murray,KY,42071,(270) 759-8700,Annita Peeler,N/A,101231,Pending Renewal,22,-88.31090824,36.63904278
208,Assisted Living Communities,The Grand Senior Living,9300 Civic Way,Prospect,KY,40059,(502) 200-8039,Kelsey Hill,N/A,101352,Pending Renewal,86,-85.56711199,38.32050489
209,Assisted Living Communities,The Grand Senior Living,9300 Civic Way,Prospect,KY,40059,(502) 233-3855,,N/A,101583,02/28/2026,0,-85.56711199,38.32050489
210,Assisted Living Communities,The Home Place At Midway,101 Sexton Way ,Midway,KY,40347,(859) 846-4663,Tonya Cox,N/A,101500,Pending Renewal,0,-84.6783212,38.1402227
211,Assisted Living Communities,The Home Place At Midway,101 Sexton Way,Midway,KY,40347,(859) 846-4663,Tonya Cox,N/A,101207,Pending Renewal,8,-84.6783212,38.1402227
212,Assisted Living Communities,The Home Place Of Hardinsburg,105 Fairgrounds Rd,Hardinsburg,KY,40143,(270) 617-1325,Erin Boyken,N/A,101499,Pending Renewal,0,-86.44186882,37.76836506
213,Assisted Living Communities,The Homplace At Midway,101 Sexton Way,Midway,KY,40347,(859) 846-4663,,N/A,101555,Pending Renewal,0,-84.6783212,38.1402227
214,Assisted Living Communities,The Lakes Of Paducah ,2265 Olivet Church Rd,Avondale,KY,42001,(270) 448-7777,Samantha Mcmanus,N/A,101455,06/30/2026,0,-88.70590786,37.05960173
215,Assisted Living Communities,The Lantern At Morning Pointe Alz & Memory Care,225 Ruccio Way,Lexington,KY,40503,(859) 309-4867,Chase Williams,N/A,101527,Pending Renewal,50,-84.52892241,37.99575536
216,Assisted Living Communities,The Lantern At Morning Pointe Alzheimer'S & Memory,4701 South Hurstbourne Parkway,Louisville,KY,40291,(502) 212-5199,Amber Perry,N/A,101529,Pending Renewal,52,-85.60690164,38.18098249
217,Assisted Living Communities,The Lantern At Morning Pointe Alzheimer'S And Memo,1063 Addington Dr,Russell,KY,41169,(606) 824-9248,Cheryl Stephens,N/A,101528,Pending Renewal,50,-82.68185436,38.5069784
218,Assisted Living Communities,The Lantern At Morning Pointe Of Frankfort,66 C Michael Davenport Boulevard,Frankfort,KY,40601,(502) 226-7118,Kim Champagne,N/A,101526,Pending Renewal,42,-84.91902403,38.16125576
219,Assisted Living Communities,The Legacy At English Station,13700 English Villa Drive,Louisville,KY,40245,(502) 254-2361,Matthew Jones,N/A,101516,Pending Renewal,65,-85.49851697,38.24049481
220,Assisted Living Communities,The Meadows At Windsor Gardens,100 Windsor Path,Georgetown,KY,40324,(502) 570-0540,Lisa Shine,N/A,101280,Pending Renewal,19,-84.55702429,38.18422295
221,Assisted Living Communities,The Neighborhood At Hopkinsville,4190 Lafayette Rd,Hopkinsville,KY,42240,(270) 885-0220,Donna Frank,N/A,101501,07/01/2026,0,-87.50440644,36.82229434
222,Assisted Living Communities,The Neighborhood At Paducah,1300 Elmdale Rd,Paducah,KY,42003,(270) 534-9173,,N/A,101601,06/30/2026,0,-88.64602668,37.04553973
223,Assisted Living Communities,The Neighborhood At Paducah,1700 Elmdale Rd,Paducah,KY,42003,(270) 534-9173,Deann Metcalf,N/A,101440,Pending Renewal,0,-88.6466296,37.04145095
224,Assisted Living Communities,The Neighborhood Of Somerset,100 Neighborly Way,Somerset,KY,42503,(606) 677-0166,Sahron Reynolds,N/A,101441,06/30/2026,0,-84.63205,37.05403
225,Assisted Living Communities,The Oaks Assisted Living,1010 Richwood Way,La Grange,KY,40031,(502) 222-3552,Kathy Rice,N/A,101442,Pending Renewal,0,-85.3706711,38.39379999
226,Assisted Living Communities,The Paragon Of Madisonville,137 Stagecoach Rd,Madisonville,KY,42431,(270) 824-9006,Alex Strein,N/A,101443,Pending Renewal,0,-87.49731388,37.36615166
227,Assisted Living Communities,The Pillars At Maple Grove,711 Frankfort Rd,Shelbyville,KY,40065,(502) 633-3486,Janie Cunningham,N/A,101444,06/30/2026,0,-85.19573993,38.2120996
228,Assisted Living Communities,The Seasons At Alexandria,7341 E Alexandria Pike,Alexandria,KY,41001,(859) 694-4450,Gretchen Aichele,N/A,100055,07/30/2026,66,-84.39780829,38.98489966
229,Assisted Living Communities,The Seasons At Alexandria,7341 E Alxandria Pike ,Alexandria,KY,41001,(859) 760-7602,Reva Stroud,N/A,101607,09/24/2026,0,-84.39780829,38.98489966
230,Assisted Living Communities,The Spring House At Louisville,1760 Plantside Dr,Jeffersontown,KY,40299,(404) 931-6807,Dennis Stamey-Lucas,N/A,101502,Pending Renewal,0,-85.57616132,38.2211609
231,Assisted Living Communities,The Spring House At Louisville,1760 Plantside Drive,Louisville,KY,40299,(502) 452-2664,Jason Kirby,N/A,101389,Pending Renewal,58,-85.57616132,38.2211609
232,Assisted Living Communities,The Springs At Oldham Reserve,2000 East Peak Rd,La Grange,KY,40031,(502) 516-3176,,N/A,101520,Pending Renewal,0,-85.3802018,38.3835809
233,Assisted Living Communities,The Springs At Oldham Reserve,2000 East Peak Road,La Grange,KY,40031,(502) 516-3176,Sean Barney-Mccoy,N/A,101384,Pending Renewal,41,-85.3802018,38.3835809
234,Assisted Living Communities,The Summit Of Edgewood,2950 Turkey Foot Rd,Edgewood,KY,41017,(859) 426-1888,,N/A,100903,Pending Renewal,0,-84.57576141,39.01716364
235,Assisted Living Communities,The Summit Of Edgewood,2950 Turkeyfoot Road,Edgewood,KY,41017,(859) 426-1888,Casey Lang,N/A,101518,Pending Renewal,113,-84.57576141,39.01716364
236,Assisted Living Communities,The Victorian At Riverside,702 Garrard Street,Covington,KY,41011,(859) 431-6913,Carrie Vanderzee,N/A,100267,Pending Renewal,40,-84.50518615,39.08411017
237,Assisted Living Communities,The Willows At Citation,1376 Silver Springs Drive,Lexington,KY,40511,(859) 277-0320,Adam Bailey,N/A,101215PC,Pending Renewal,34,-84.48372004,38.08257615
238,Assisted Living Communities,The Willows At Citation,1376 Silver Spring ,Lexington,KY,40511,(859) 277-0320,,N/A,,Pending Renewal,0,-84.48372004,38.08257615
239,Assisted Living Communities,The Willows At Fritz Farm,2710 Man O War Blvd,Lexington,KY,40515,(859) 273-0088,Elizabeth Blair,N/A,101286,Pending Renewal,30,-84.52928076,37.97577597
240,Assisted Living Communities,The Willows At Hamburg,2521 Old Rosebud Road,Lexington,KY,40509,(859) 543-0337,Samuel Frazier,N/A,101180,Pending Renewal,25,-84.43135399,38.02817644
241,Assisted Living Communities,The Willows At Springhurst,3101 North Hurstbourne Parkway,Louisville,KY,40241,(502) 426-5531,Carla Sieckert,N/A,100240,Pending Renewal,72,-85.57436905,38.29034638
242,Assisted Living Communities,The Willows At Springhurst,3001 N Hurstbourne Parkway,Louisville,KY,40241,(502) 426-5531,Carla Sieckert,N/A,101509,Pending Renewal,16,-85.57372685,38.28953663
243,Assisted Living Communities,Traditions At Beaumont,10210 Long Home Rd,Fern Creek,KY,40291,(502) 231-4522,Rebeka Nicholas,N/A,101503,Pending Renewal,0,-85.57552885,38.12192787
244,Assisted Living Communities,Traditions At Beaumont,10210 Long Home Rd,Fern Creek,KY,40291,(502) 231-4522,,N/A,101597,06/10/2026,0,-85.57552885,38.12192787
245,Assisted Living Communities,Trinity Station Retirement Community,2121 Argillite Rd,Flatwoods,KY,41139,(606) 833-1111,Nancy Bailey,N/A,101446,06/30/2026,0,-82.71996173,38.52020106
246,Assisted Living Communities,Twin Brook Assisted Living,3525 Ephraim Mcdowell Dr,Louisville,KY,40205,(502) 452-6330,Scott Mccoy,N/A,101447,Pending Renewal,0,-85.65220889,38.22307917
247,Assisted Living Communities,Twin Oaks Assisted Living,98 Adams St,New Castle,KY,40050,(502) 845-4136,Paige Lucas-Jamiel,N/A,101448,Pending Renewal,0,-85.1744902,38.43674556
